m_phi(GeV),sin_theta^2,Q_phi,C_phiN,G_phi,xi,P_esc,V_SN,lambda_phi,energy loss rate
0.00406116,1.96343e-11,3.67977e-12,1.00859e-08,0.446417,0.98782,0.84219,4.18879e+18,5.82244e+06,4.09011e+54
0.0429577,4.60671e-11,5.23825e-12,1.54492e-08,0.446417,0.599331,0.748491,4.18879e+18,3.45214e+06,5.17459e+54
0.0650126,4.40677e-12,3.31291e-13,4.77826e-09,0.446417,0.396242,0.977276,4.18879e+18,4.35131e+07,4.27298e+53
0.00349254,4.7771e-11,8.97792e-12,1.57323e-08,0.446417,0.990564,0.657779,4.18879e+18,2.38728e+06,7.79398e+54
0.00396356,2.71851e-10,5.09745e-11,3.75297e-08,0.446417,0.98831,0.0926406,4.18879e+18,420340,6.23245e+54
0.0147591,7.95858e-11,1.36395e-11,2.03061e-08,0.446417,0.903306,0.523267,4.18879e+18,1.54402e+06,9.41946e+54
0.00819485,7.96273e-10,1.45218e-10,6.42304e-08,0.446417,0.961237,0.00110645,4.18879e+18,146917,2.12059e+53
0.0821649,4.01757e-10,2.11184e-11,4.56238e-08,0.446417,0.277056,0.157544,4.18879e+18,541270,4.39104e+54
0.112494,2.47992e-10,6.54584e-12,3.5845e-08,0.446417,0.139123,0.386825,4.18879e+18,1.05348e+06,3.34182e+54
0.036581,2.95886e-11,3.74488e-12,1.23815e-08,0.446417,0.667091,0.820944,4.18879e+18,5.06866e+06,4.05747e+54
0.201339,4.30855e-10,1.16569e-12,4.72471e-08,0.446417,0.0142601,0.281091,4.18879e+18,789546,4.32447e+53
0.00640636,2.19884e-12,4.0633e-13,3.37525e-09,0.446417,0.973997,0.981176,4.18879e+18,5.26215e+07,5.26174e+53
0.14422,7.48075e-11,9.07271e-13,1.96871e-08,0.446417,0.0639238,0.78044,4.18879e+18,4.03791e+06,9.34502e+53
0.0039512,3.44627e-12,6.46247e-13,4.22556e-09,0.446417,0.988372,0.97029,4.18879e+18,3.31558e+07,8.27568e+53
0.00584838,2.04753e-10,3.79775e-11,3.25705e-08,0.446417,0.977614,0.169457,4.18879e+18,563331,8.49355e+54
0.0286097,1.14834e-11,1.64481e-12,7.71339e-09,0.446417,0.754945,0.920809,4.18879e+18,1.21212e+07,1.99889e+54
0.00492083,6.29357e-13,1.17399e-13,1.80575e-09,0.446417,0.98319,0.994532,4.18879e+18,1.82384e+08,1.54094e+53
